marker,position,scaffold_day,conflict,selected_source,sources,source_text,consolidated,faithful,complete,placement,notes
E001:c001,1,-6,,matthew,Matthew Matthew 21:1,"[Matthew] As they approached Jerusalem and came to Bethphage on the Mount of Olives, Jesus sent two disciples,","As they approached Jerusalem and came to Bethphage on the Mount of Olives, Jesus sent two disciples with an ass and a colt, both having Mary sitting upon them; and his disciples took out the money bags and threw them onto the beasts.",,,,
E002:c002,2,-6,,luke,Luke Luke 19:29-34; Matthew Matthew 21:2-7; Mark Mark 11:1-6,"[Luke] As he approached Bethphage and Bethany at the hill called the Mount of Olives, he sent two of his disciples, saying to them, ""Go to the village ahead of you, and as you enter it, you will find a colt tied there, which no one has ever ridden. Untie it and bring it here. If anyone asks you, 'Why are you untying it?' tell him, 'The Lord needs it.'"" Those who were sent ahead went and found it just as he had told them. As they were untying the colt, its owners asked them, ""Why are you untying the colt?"" They replied, ""The Lord needs it.""  ||  [Matthew] saying to them, ""Go to the village ahead of you, and at once you will find a donkey tied there, with her colt by her. Untie them and bring them to me. If anyone says anything to you, tell him that the Lord needs them, and he will send them right away."" This took place to fulfill what was spoken through the prophet: ""Say to the Daughter of Zion, 'See, your king comes to you, gentle and riding on a donkey, on a colt, the foal of a donkey.'"" The disciples went and did as Jesus had instructed them. They brought the donkey and the colt, placed their cloaks on them, and Jesus sat on them.  ||  [Mark] As they approached Jerusalem and came to Bethphage and Bethany at the Mount of Olives, Jesus sent two of his disciples, saying to them, ""Go to the village ahead of you, and just as you enter it, you will find a colt tied there, which no one has ever ridden. Untie it and bring it here. If anyone asks you, 'Why are you doing this?' tell him, 'The Lord needs it and will send it back here shortly.'"" They went and found a colt outside in the street, tied at a doorway. As they untied it, some people standing there asked, ""What are you doing, untying that colt?"" They answered as Jesus had told them to, and the people let them go.","As he approached Bethphage and Bethany at the hill called the Mount of Olives, Jesus sent two of his disciples, saying to them, “Go to the village ahead of you, and just as you enter it, you will find a colt tied there, which no one has ever ridden. Untie it and bring it here. If anyone asks you, ‘Why are you doing this?’ tell him, ‘The Lord needs it and will send it back here shortly.’” Those who were sent ahead went and found a colt outside in the street, tied at a doorway, just as he had told them, and as they were untying the colt its owners asked them, “What are you doing, untying that colt?” They replied as Jesus had told them to, and the people let them go.",,,,
E003:c003,3,-6,,luke,Luke Luke 19:35-36; Matthew Matthew 21:8,"[Luke] They brought it to Jesus, threw their cloaks on the colt and put Jesus on it. As he went along, people spread their cloaks on the road.  ||  [Matthew] A very large crowd spread their cloaks on the road, while others cut branches from the trees and spread them on the road.","They brought it to Jesus, threw their cloaks on the colt and put Jesus on it. A very large crowd spread their cloaks on the road, while others cut branches from the trees and spread them on the road as he went along.",,,,
E004:c004,4,-6,,mark,Mark Mark 11:7-10; Matthew Matthew 21:9; Luke Luke 19:37-41,"[Mark] When they brought the colt to Jesus and threw their cloaks over it, he sat on it. Many people spread their cloaks on the road, while others spread branches they had cut in the fields. Those who went ahead and those who followed shouted, ""Hosanna! Blessed is he who comes in the name of the Lord!"" ""Blessed is the coming kingdom of our father David!Hosanna in the highest!""  ||  [Matthew] The crowds that went ahead of him and those that followed shouted, ""Hosanna to the Son of David!Blessed is he who comes in the name of the Lord!Hosanna in the highest!""  ||  [Luke] When he came near the place where the road goes down the Mount of Olives, the whole crowd of disciples began joyfully to praise God in loud voices for all the miracles they had seen: ""Blessed is the king who comes in the name of the Lord!Peace in heaven and glory in the highest!"" Some of the Pharisees in the crowd said to Jesus, ""Teacher, rebuke your disciples!"" ""I tell you,"" he replied, ""if they keep quiet, the stones will cry out."" As he approached Jerusalem and saw the city, he wept over it","When he came near the place where the road goes down the Mount of Olives, Jesus was brought a colt and cloaks were thrown over it as many people spread their cloaks on the road while others spread branches they had cut in the fields. The crowds that went ahead of him and those that followed shouted, “Hosanna to the Son of David! Blessed is he who comes in the name of the Lord! Hosanna in the highest!” Those who went ahead and those who followed shouted, ""Hosanna! Blessed is he who comes in the name of the Lord!"" “Blessed is the coming kingdom of our father David! Hosanna in the highest!” Some of the Pharisees in the crowd said to Jesus, “Teacher, rebuke your disciples!” “I tell you,” he replied, “if they keep quiet, the stones will cry out.” As he approached Jerusalem and saw the city, he wept over it for all the miracles they had seen: ""Blessed is the king who comes in the name of the Lord! Peace in heaven and glory in the highest!""",,,,
E005:c005,5,-6,,mark,Mark Mark 11:11; Luke Luke 19:42,"[Mark] Jesus entered Jerusalem and went to the temple. He looked around at everything, but since it was already late, he went out to Bethany with the Twelve.  ||  [Luke] and said, ""If you, even you, had only known on this day what would bring you peace--but now it is hidden from your eyes.","Jesus entered Jerusalem and went to the temple, looking around at everything, but since it was already late, he went out to Bethany with the Twelve and said, “If you, even you, had only known on this day what would bring you peace—but now it is hidden from your eyes.”",,,,
E006:c006,6,-6,yes,matthew,Matthew Matthew 21:10; Mark Mark 11:12; Mark 11:13,"[Matthew] When Jesus entered Jerusalem, the whole city was stirred and asked, ""Who is this?""  ||  [Mark] The next day as they were leaving Bethany, Jesus was hungry. Seeing in the distance a fig tree in leaf, he went to find out if it had any fruit. When he reached it, he found nothing but leaves, because it was not the season for figs.","When Jesus entered Jerusalem, the whole city was stirred and asked, “Who is this?” The next day as they were leaving Bethany, Jesus was hungry and, seeing in the distance a fig tree in leaf, he went to find out if it had any fruit. When he reached it, he found nothing but leaves, because it was not the season for figs.",,,,
E007:c007,7,-6,yes,luke,Luke Luke 19:43-44; Mark Mark 11:14; Matthew Matthew 21:11,"[Luke] The days will come upon you when your enemies will build an embankment against you and encircle you and hem you in on every side. They will dash you to the ground, you and the children within your walls. They will not leave one stone on another, because you did not recognize the time of God's coming to you.""  ||  [Mark] Then he said to the tree, ""May no one ever eat fruit from you again."" And his disciples heard him say it.  ||  [Matthew] The crowds answered, ""This is Jesus, the prophet from Nazareth in Galilee.""","The days will come upon you when your enemies would build an embankment against you and encircle you and hem you in on every side, and they would dash you to the ground, you and the children within your walls. They will not leave one stone on another, because you did not recognize the time of God's coming to you. Then he said to the tree, “May no one ever eat fruit from you again,” and his disciples heard him say it; and the crowds answered, “This is Jesus, the prophet from Nazareth in Galilee.”",,,,
E008:c008,8,-6,yes,matthew,Matthew Matthew 21:12-14; Mark Mark 11:15-17; Luke Luke 19:45-46,"[Matthew] Jesus entered the temple area and drove out all who were buying and selling there. He overturned the tables of the money changers and the benches of those selling doves. ""It is written,"" he said to them, ""'My house will be called a house of prayer,' but you are making it a 'den of robbers.'"" The blind and the lame came to him at the temple, and he healed them.  ||  [Mark] On reaching Jerusalem, Jesus entered the temple area and began driving out those who were buying and selling there. He overturned the tables of the money changers and the benches of those selling doves, and would not allow anyone to carry merchandise through the temple courts. And as he taught them, he said, ""Is it not written: ""'My house will be called a house of prayer for all nations'? But you have made it 'a den of robbers.'""  ||  [Luke] Then he entered the temple area and began driving out those who were selling. ""It is written,"" he said to them, ""'My house will be a house of prayer'; but you have made it 'a den of robbers.'""","Then he entered the temple area and began driving out those who were buying and selling there. He overturned the tables of the money changers and the benches of those selling doves, and would not allow anyone to carry merchandise through the temple courts. The blind and the lame came to him at the temple, and he healed them. “It is written,” he said to them, “‘My house will be called a house of prayer,’ but you are making it ‘a den of robbers.’”",,,,
E009:c009,9,-6,,luke,Luke Luke 19:47-48; Matthew Matthew 21:15-16; Mark Mark 11:18,"[Luke] Every day he was teaching at the temple. But the chief priests, the teachers of the law and the leaders among the people were trying to kill him. Yet they could not find any way to do it, because all the people hung on his words.  ||  [Matthew] But when the chief priests and the teachers of the law saw the wonderful things he did and the children shouting in the temple area, ""Hosanna to the Son of David,"" they were indignant. ""Do you hear what these children are saying?"" they asked him. ""Yes,"" replied Jesus, ""have you never read, ""'From the lips of children and infants you have ordained praise'?""  ||  [Mark] The chief priests and the teachers of the law heard this and began looking for a way to kill him, for they feared him, because the whole crowd was amazed at his teaching.","Every day he was teaching at the temple, but the chief priests, the teachers of the law, and the leaders among the people were trying to kill him. Yet they could not find any way to do it, because all the people hung on his words; when the chief priests and the teachers of the law saw the wonderful things he did and the children shouting in the temple area, “Hosanna to the Son of David,” they were indignant, ""Do you hear what these children are saying?"" they asked him. Yes, replied Jesus, “have you never read, “‘From the lips of children and infants you have ordained praise’?” The chief priests and the teachers of the law heard this and began looking for a way to kill him, for they feared him, because the whole crowd was amazed at his teaching.",,,,
E010:c010,10,-6,,matthew,Matthew Matthew 21:17; Mark Mark 11:19,"[Matthew] And he left them and went out of the city to Bethany, where he spent the night.  ||  [Mark] When evening came, they went out of the city.","When evening came, they went out of the city and he left them and went out of the city to Bethany, where he spent the night.",,,,
E011:c011,11,-6,yes,matthew,Matthew Matthew 21:18,"[Matthew] Early in the morning, as he was on his way back to the city, he was hungry.","Early in the morning, as he was on his way back to the city, he was hungry. Accounts vary regarding the precise sequence of events; some indicate that this occurred immediately upon his departure, while others suggest it arose later during his journey.",,,,
E012:c012,12,-6,yes,matthew,Matthew Matthew 21:19; Matthew 21:20; Mark Mark 11:20,"[Matthew] Seeing a fig tree by the road, he went up to it but found nothing on it except leaves. Then he said to it, ""May you never bear fruit again!"" Immediately the tree withered. When the disciples saw this, they were amazed. ""How did the fig tree wither so quickly?"" they asked.  ||  [Mark] In the morning, as they went along, they saw the fig tree withered from the roots.","Seeing a fig tree by the road, he went up to it but found nothing on it except leaves. Then he said to it, “May you never bear fruit again!” Immediately the tree withered, and when the disciples saw this, they were amazed. ""How did the fig tree wither so quickly?"" they asked; or, in another account, in the morning, as they went along, they saw the fig tree withered from the roots.",,,,
E013:c013,13,-5,yes,mark,Mark Mark 11:21-24; Matthew Matthew 21:21-22,"[Mark] Peter remembered and said to Jesus, ""Rabbi, look! The fig tree you cursed has withered!"" ""Have faith in God,"" Jesus answered. ""I tell you the truth, if anyone says to this mountain, 'Go, throw yourself into the sea,' and does not doubt in his heart but believes that what he says will happen, it will be done for him. Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.  ||  [Matthew] Jesus replied, ""I tell you the truth, if you have faith and do not doubt, not only can you do what was done to the fig tree, but also you can say to this mountain, 'Go, throw yourself into the sea,' and it will be done. If you believe, you will receive whatever you ask for in prayer.""","Peter remembered and said to Jesus, “Rabbi, look! The fig tree you cursed has withered!” Jesus answered, “Have faith in God,” and then stated, “I tell you the truth, if anyone says to this mountain, ‘Go, throw yourself into the sea,’ and does not doubt in his heart but believes that what he says will happen, it will be done for him. Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.” Jesus replied, “I tell you the truth, if you have faith and do not doubt, not only can you do what was done to the fig tree, but also you can say to this mountain, ‘Go, throw yourself into the sea,’ and it will be done. If you believe, you will receive whatever you ask for in prayer.”",,,,
E014:c014,14,-5,yes,mark,Mark Mark 11:25-26,"[Mark] And when you stand praying, if you hold anything against anyone, forgive him, so that your Father in heaven may forgive you your sins."" See Footnote","And when you stand praying, if you hold anything against anyone, forgive him, so that your Father in heaven may forgive you your sins. See Footnote.",,,,
